dataset,model,accuracy_cv,precision_cv,precision_illicit_cv,recall_cv,recall_illicit_cv,f1_cv,f1_illicit_cv,roc_auc_cv,PRAUC_cv,kappa_cv
AMLSim,MLP,13.626960978857053,9.439156314032825,7.1791097495524685,13.626960978857053,14.045924080590218,24.35390467840438,7.830133864776914,12.559768964360005,19.900926443077456,178.56558055979244
AMLSim,GCN,20.816148297840176,23.04548023427529,2.6084850533525743,20.816148297840176,25.946577256330606,37.68625610746789,12.63180723187533,3.915610270608383,4.391516874646341,1649.5138785645602
AMLSim,GAT,20.523737537261887,5.400947575192334,6.020758017588481,20.523737537261884,42.02872919018727,31.428214548696097,20.868136330866513,6.262003767078289,7.505088799459834,1309.7724375395674
AMLSim,GIN,9.830487191853452,16.21889215518818,1.8820673823557872,9.830487191853452,8.448653029542385,22.63861560792457,1.9354852860356608,3.5561912894745222,5.221022667057061,50.816835954607434
AMLSim,RF,0.737345624946513,1.5881435929176413,1.0145745104359611,0.737345624946513,2.5950534762630704,1.3890978378434706,1.4336920368996826,1.208578434508788,0.9794992157473923,18.482316412593082
AMLSim,SVM,6.07751652753897e-14,0.0,0.0,6.07751652753897e-14,1.469677966355844e-14,7.281370436227226e-14,6.10222538947333e-14,3.588404580172138e-14,0.0,7.57954301014578e-14
AMLSim,XGB,1.1360186829142258e-14,1.781034915391461e-14,6.699935253512658e-14,1.1360186829142258e-14,4.839439589214603e-14,2.215927026655238e-14,6.20389269561816e-14,6.137102849997169e-14,0.0,8.389584035342985e-14
Elliptic,MLP,2.326149620626958,0.7649832890146915,22.979874684143837,2.326149620626958,29.294018299161873,1.472804008551035,28.25345085740294,1.4553566308362684,17.671594703853437,30.161403500070893
Elliptic,GCN,3.331953330480744,0.9974189284174562,28.53416047158705,3.331953330480744,43.75898277024109,2.108076840463869,33.49705574132294,2.2150299305453953,26.10488806074831,37.013768718991884
Elliptic,GAT,19.1988226672901,1.1031706805528518,51.13838451110071,19.1988226672901,55.06646894799731,12.44168628937789,28.717011766965467,3.425651137235413,19.63871877414153,41.976646543843195
Elliptic,GIN,5.219441653354759,0.5571367760417955,34.12021413963329,5.219441653354759,16.021872327027253,3.334566676329361,16.29730304895937,2.86183382681164,14.002661876112615,21.998945201293058
Elliptic,RF,0.040495675057000524,0.04806691566078507,1.098364796525246,0.040495675057000524,0.5482993290734295,0.03736111317641727,0.48755828084884,0.3817741609499138,0.24183640704947268,0.5301635715286993
Elliptic,SVM,5.2660917646739995e-14,2.4229730930111893e-14,4.2807568448283063e-14,5.2660917646739995e-14,4.038922505856465e-14,2.5435996312512528e-14,3.8635685230163214e-14,6.894762919060773e-14,0.0,6.065448419060022e-14
Elliptic,XGB,4.67283702852919e-14,5.856478730250622e-14,7.779359730545297e-14,4.67283702852919e-14,5.782105672064873e-14,2.340515029884616e-14,0.0,6.319953450932787e-14,0.0,0.0
IBM_AML_HiSmall,MLP,4.901937120397451,0.0576127987772206,244.7579564652474,4.901937120397451,71.97210418222394,2.5396658225809587,43.32912176833962,2.229340798070889,66.51525564341766,48.998951426559536
IBM_AML_HiSmall,GCN,2.0444581804450754,0.025217074705196175,109.51129907688578,2.0444581804450754,47.37393372241454,1.0584377839370644,60.64211377455444,5.88329089503461,59.742227298116745,64.25242855796036
IBM_AML_HiSmall,GAT,2.0214226342096837,0.018457228812855424,83.86588125247542,2.0214226342096837,135.13096002178196,1.0372399248373616,61.853892634381054,4.699630927365246,16.100267018493803,66.60009526169891
IBM_AML_HiSmall,GIN,3.6780665065936295,0.046165289857259185,79.99617838985196,3.6780665065936295,147.87570540700884,1.9273700426377653,52.56894111552405,7.217631611251665,49.74027801553127,56.20305810076407
IBM_AML_HiSmall,RF,0.07425534538763547,0.00037665545985687945,0.8709533891731678,0.07425534538763547,0.23308283841393207,0.038586544146188534,0.8458747218378964,0.03876578543065772,2.746619412699073,0.9222629501349935
IBM_AML_HiSmall,SVM,5.967653630212537e-14,5.6628121823935206e-14,6.291032126731243e-14,5.967653630212537e-14,6.923486088872673e-14,0.0,6.507391067008518e-14,7.521792205491701e-14,0.0,0.0
IBM_AML_HiSmall,XGB,0.0,5.6631047104401886e-14,2.793085160764448e-14,0.0,2.1504283981106818e-14,4.5368040735556475e-14,3.8682993598197885e-14,7.358255804755966e-14,0.0,5.894435685044466e-14
IBM_AML_LiSmall,MLP,3.076907389652881,0.0125339574877786,13.791350228109156,3.076907389652881,75.03761581070333,1.5748391631932372,20.665264412110627,10.92855545277746,42.18935599097171,22.52099719871748
IBM_AML_LiSmall,GCN,3.1982931011684492,0.013186876691340617,28.858884845687005,3.1982931011684492,87.25112473185717,1.665464567569271,29.521175868846733,10.513403236501095,68.00739369321194,31.991925224345184
IBM_AML_LiSmall,GAT,19.211354014989464,0.016090346111366696,29.36704981431625,19.211354014989464,91.32076831071952,18.96922581775365,25.39285884509001,10.4251162078469,89.15025657543083,29.310920001146734
IBM_AML_LiSmall,GIN,5.41959441283504,0.02050571422329174,103.30065886297209,5.41959441283504,76.98052173054099,2.8018017462578353,52.38834913939494,3.17329624074938,44.872920613346714,62.810684363988265
IBM_AML_LiSmall,RF,0.05063714259052068,0.00019312685784531074,0.7728103797032302,0.05063714259052068,0.38243833981438063,0.026087422863091143,0.7641057334729173,0.12185838656220609,4.757662250717994,0.8324564902705096
IBM_AML_LiSmall,SVM,3.795649795607336e-14,4.520897072078754e-14,3.91205825518827e-14,3.795649795607336e-14,4.771118089131569e-14,4.792236598443477e-14,3.9369078285691615e-14,0.0,0.0,0.0
IBM_AML_LiSmall,XGB,6.810376994312582e-14,0.0,5.1709877341487755e-14,6.810376994312582e-14,2.0219481930436503e-14,4.531523532238713e-14,1.976406102180048e-14,1.3922973894494991e-14,0.0,2.0423509175733836e-14
IBM_AML_HiMedium,MLP,77.18228208452774,61.33312397129897,51.11838693159243,77.18228208452774,132.04317088444122,77.12804028519274,36.6078080745897,23.137541723316858,25.3642212657977,84.25996213716009
IBM_AML_HiMedium,GCN,276.44315317172794,56.11081060703843,9.48904545389531,276.44315317172794,28.405346959684962,258.88202200156604,9.311609801992685,19.362389139683195,22.849184255275695,497.1571728954354
IBM_AML_HiMedium,GAT,87.96803514456188,18.88701748158984,118.6321038226757,87.96803514456188,112.9195875226191,87.200700262977,25.011564280122496,22.824891290760764,116.36466514160956,2722.404971552186
IBM_AML_HiMedium,GIN,2.3927508224703185,0.0019193144194323997,27.60241235397867,2.3927508224703185,115.98260205964237,1.215011783006075,14.387255345881925,8.00641741795534,20.408884518824383,21.077428068726704
IBM_AML_HiMedium,RF,0.06478567154749208,7.365022971569262e-05,0.8309545903101087,0.06478567154749208,0.17650085429611473,0.033467257166578064,0.8215974400724034,0.07092892748785043,4.084536968449218,0.9001240993390006
IBM_AML_HiMedium,SVM,0.0,4.525487969417335e-14,2.346778515238097e-14,0.0,5.1148619141304064e-14,1.1938205241199037e-14,3.58010756091336e-14,3.7242619139500884e-14,0.0,0.0
IBM_AML_HiMedium,XGB,6.821749254891511e-14,4.528355404696179e-14,6.493016646753403e-14,6.821749254891511e-14,5.482757923830911e-14,3.4040941204246514e-14,1.641275699590112e-14,2.4694389783904213e-14,0.0,8.315634251297835e-14
IBM_AML_LiMedium,MLP,82.88549406005397,56.11095610450961,55.39949108450294,82.88549406005397,123.04097463887187,82.89723332889113,38.087100506254366,25.476740246669987,27.38575428976186,93.90140194431731
IBM_AML_LiMedium,GCN,430.8438186964693,77.38930267180089,10.36910944955985,430.8438186964693,9.586325844394237,388.832197448958,10.330105624464872,19.894854702107075,17.876309992975816,511.1179803868894
IBM_AML_LiMedium,GAT,59.75769025862056,88.95857989380798,0.05114839278711715,59.75769025862056,0.09138923047719476,195.47715351584122,0.05116590951845483,10.993305658254407,20.888298177204984,177.651410285616
IBM_AML_LiMedium,GIN,77.76734776236455,50.85498238567661,36.05849720834906,77.76734776236455,93.12456667567984,77.48829350500321,35.541474102638226,18.697190758653896,19.05753352669306,185.27938825675844
IBM_AML_LiMedium,RF,0.04733333972362127,4.236302214462199e-05,0.6505228045200839,0.04733333972362127,0.10188580533232758,0.024441788074768038,0.6435087894517909,0.041139565704882024,2.6324432292113396,0.7042677242441345
IBM_AML_LiMedium,SVM,3.560882888330672e-14,6.782437987408676e-14,6.57496391524805e-14,3.560882888330672e-14,5.3911616048271125e-14,3.4764024964530254e-14,0.0,2.7092333028947697e-14,0.0,0.0
IBM_AML_LiMedium,XGB,7.976780751506114e-14,4.5218189691401634e-14,3.596173112657045e-14,7.976780751506114e-14,4.100062523074081e-14,3.405170523341688e-14,3.8524270203491755e-14,6.794912181074336e-14,0.0,0.0
